date,open,high,low,close,volume,chg_pct,inst_sum,inst_ext,retail,foreign,per,pbr,div,bps,eps,dps
2024-09-19,64000,64400,62200,63100,49402713,-2.018633540372671,336764307400,7117750300,573958728300,-917840786000,29.61,1.21,2.29,52002,2131,1444
2024-09-20,63800,64700,63000,63000,32746056,-0.15847860538827258,79526141600,-79184500,320454646600,-399901603700,29.56,1.21,2.29,52002,2131,1444
2024-09-23,62300,63500,62200,62600,28542376,-0.6349206349206349,116417382400,2792939700,513328480100,-632538802200,29.38,1.2,2.31,52002,2131,1444
2024-09-24,62800,63400,62400,63200,26957500,0.9584664536741214,177892240600,2553944700,295665575500,-476111760800,29.66,1.22,2.28,52002,2131,1444
2024-09-25,63800,64200,62200,62200,28652438,-1.5822784810126582,201407653100,12514919500,339596890900,-553519463500,29.19,1.2,2.32,52002,2131,1444
2024-09-26,63900,64900,63700,64700,37566015,4.019292604501608,307399450600,2208445700,-70190947000,-239416949300,30.36,1.24,2.23,52002,2131,1444
2024-09-27,64700,65400,64200,64200,28433030,-0.7727975270479135,-71554750200,-14909923400,188864413200,-102399739600,30.13,1.23,2.25,52002,2131,1444
2024-09-30,64200,64300,61500,61500,32694163,-4.205607476635514,-144319867000,14462364500,820371984300,-690514481800,28.86,1.18,2.35,52002,2131,1444
2024-10-02,60500,61900,59900,61300,28473536,-0.3252032520325203,-154198216400,6274926200,258516449500,-110593159300,28.77,1.18,2.36,52002,2131,1444
2024-10-04,61000,61700,60500,60600,24247578,-1.1419249592169658,-68734181800,1316542200,384050746200,-316633106600,28.44,1.17,2.38,52002,2131,1444
2024-10-07,60200,61900,59500,61000,35066533,0.6600660066006601,75153987100,4293753200,459393234700,-538840975000,28.63,1.17,2.37,52002,2131,1444
2024-10-08,60000,61000,59900,60300,27411786,-1.1475409836065573,-86828190800,5534947900,331847697100,-250554454200,28.3,1.16,2.39,52002,2131,1444
2024-10-10,60100,60200,58900,58900,45262214,-2.321724709784411,-256538278600,11278879300,566328239900,-321068840600,27.64,1.13,2.45,52002,2131,1444
2024-10-11,59100,60100,59000,59300,29623969,0.6791171477079796,229041946400,6397375500,157209362600,-392648684500,27.83,1.14,2.44,52002,2131,1444
2024-10-14,59500,61200,59400,60800,20886249,2.5295109612141653,152329952200,4605829600,-62862706800,-94073075000,28.53,1.17,2.38,52002,2131,1444
2024-10-15,61100,61400,60100,61000,22715239,0.3289473684210526,10544779300,13208709800,38631277800,-62384766900,28.63,1.17,2.37,52002,2131,1444
